place,name,週一至週五,週六,週日,備註
名人堂,清華水漾餐廳,09:30-21:00,09:30-21:00,09:30-21:01,
小吃部,麥當勞,07:00-24:00,07:00-24:00,07:00-24:01,9/1-9/12營業時間:週一至週日07:00-22:00
小吃部,比司多,06:30-20:00,06:30-14:00,休,
小吃部,李記小館,10:30-20:00,10:30-20:00,休,
小吃部,麻吉牛排,10:30-20:00,休,10:30-20:00,近期開幕
小吃部,就是愛壽司,10:30-20:00,休,10:30-20:00,近期開幕
小吃部,大洪食堂,10:30-20:00,休,10:30-20:00,
小吃部,海盜滷味,10:30-20:00,10:30-20:00,休,
小吃部,鑫鴻(珈名鮮茶),10:30-20:00,10:30-20:00,休,
小吃部,堤兒小店,07:00-:22:00,07:00-22:00,07:00-22:01,
小吃部,7-11,24小時,24小時,24小時,
小吃部,八方雲集,11:00-19:30,休,11:00-19:30,9/1-9/7暫停營業
小吃部,和風風味屋,11:00-14:00 16:30-19:30,休,11:00-14:00 16:30-19:30,
小吃部,羹飯大叔,11:00-20:00,休,11:00-20:00,
水木生活中心1樓,酷雞雞排飯,11:00-19:30,休,11:00-19:30,
水木生活中心1樓,金展自助餐,10:30-13:30 16:30-19:15,休,10:30-13:30 16:30-19:15,
水木生活中心1樓,三顧茅廬,11:00-19:30,休,11:00-19:30,
水木生活中心1樓,利竫和食,11:00-19:30,休,11:00-19:30,
水木生活中心1樓,弘謙食堂,11:00-19:30,休,11:00-19:30,
水木生活中心1樓,晨光早午餐,06:30-14:00,休,06:30-14:00,
水木生活中心1樓,小木屋鬆餅,09:00-20:00,10:30-20:00,10:30-20:01,
水木生活中心1樓,全家便利商店,07:00-22:30,10:30-21:30,07:00-22:30,
水木生活中心1樓,管理部,09:00-18:00,休,休,
水木生活中心1樓,眼鏡部,10:00-20:00,10:00-12:00,休,
水木生活中心1樓,洗衣部,09:00-18:00,休,休,
水木生活中心1樓,水木百貨,08:00-22:00,08:00-21:00,10:00-21:00,
水木生活中心2樓,胖達咖啡,11:00-21:00,12:00-18:00,12:00-18:01,
水木生活中心2樓,Moment Caf'e,11:00-20:00,11:00-20:00,休,
水木生活中心2樓,理髮部,08:30-19:30,08:30-19:00,08:30-19:01,第2、4週週四公休 9/2中午12:00開始營業
水木生活中心2樓,利捷打字行,07:30-20:30,10:30-15:00,休,
風雲1樓,堤兒小店,07:00-22:00,07:00-22:00,07:00-22:01,
風雲1樓,水木書苑,09:00-19:00,10:30-19:00,10:30-19:01,9/1暫停營業
風雲1樓,Straighta,11:00-19:00,休,休,
風雲2樓,越好食堂,11:00-14:00 17:00-19:30,11:00-14:00 17:00-19:30,休,
風雲2樓,紅燒如意坊,11:00-14:00 17:00-19:30,11:00-14:00 17:00-19:30,休,9/1-9/11每週二~五晚餐不營業
風雲2樓,蔬適圈,11:00-14:00 17:00-20:00,11:00-14:00 17:00-20:00,休,
風雲2樓,淳在幸福,10:30-14:00 16:30-20:00,10:30-14:00 16:30-20:00,休,
風雲2樓,友記麵食館,11:00-14:00 17:00-20:00,11:00-14:00 17:00-20:00,休,9/5開幕
風雲2樓,帕森義大利麵,11:00-14:00 17:00-20:00,11:00-14:00 17:00-20:00,休,
風雲2樓,漢城異國美食,11:00-14:00 17:00-20:00,11:00-14:00 17:00-20:00,休,9/4晚餐暫停營業
風雲2樓,家味燒臘,11:00-14:00 17:00-20:00,11:00-14:00 17:00-20:00,休,每週五晚餐暫停營業
風雲2樓,喜番咖哩,11:00-14:00 17:00-20:00,11:00-14:00 17:00-20:00,休,9/1-9/5暫停營業
風雲2樓,牛肉先生,11:00-14:00 17:00-19:30,11:00-14:00 17:00-19:30,休,9/5、9/11暫停營業
風雲2樓,墨尼捲餅,11:00-19:30,11:00-19:30,休,
風雲3樓,珍御品粥麵館,10:30-20:00,10:30-20:00,休,9/2暫停營業
風雲3樓,倆小食,11:00-14:00 17:30-20:00,11:00-14:00 17:30-20:00,休,9/4、9/5、9/11、9/12暫停營業
風雲3樓,鳴野食蘋早午餐,06:30-13:30,06:30-13:30,休,
風雲3樓,胖老爹美式炸雞,11:00-20:00,11:00-20:00,休,
風雲4樓,The Loft,11:00-14:00 17:00-20:00,11:00-20:00,休,9/1-9/4暫停營業
人社院,人社院餐廳,11:30-13:30,休,休,9/1-9/11暫停營業
第二招待所,第二招待所中餐廳,11:30-13:30 17:30-19:30,休,休,9/1-9/11晚餐暫停營業
自強樓,教職員餐廳,11:30-13:30,休,休,9/1-911暫停營業
台積館,日安餐坊,08:00-17:00,休,休,
育成中心,果子咖啡,11:00-21:00,11:00-21:00,11:00-21:01,"每週一公休9/1-9/13營業時間:10:00-15:00"
